feature,value,count
food_category,lainnya,422
food_category,lauk_hewani,208
food_category,karbohidrat_pokok,171
food_category,sayuran,159
food_category,gorengan,106
food_category,buah,94
food_category,lauk_nabati,57
food_category,berkuah,39
food_category,snack_dessert,33
food_category,minuman,32
food_category,bumbu_sambal,11
base_ingredient,unknown,474
base_ingredient,ikan,133
base_ingredient,sayuran,132
base_ingredient,umbi,93
base_ingredient,kacang,88
base_ingredient,buah,84
base_ingredient,beras,59
base_ingredient,kedelai,59
base_ingredient,sapi,37
base_ingredient,gandum,31
base_ingredient,jagung,26
base_ingredient,ayam,22
base_ingredient,telur,21
base_ingredient,seafood,20
base_ingredient,daging_lain,18
base_ingredient,susu,15
base_ingredient,bumbu_rempah,11
base_ingredient,unggas_lain,5
base_ingredient,kambing,4
primary_meal_time,lunch,957
primary_meal_time,dinner,198
primary_meal_time,breakfast,177
suitable_breakfast,true,340
suitable_lunch,true,1258
suitable_dinner,true,624
