metric,value
source_v6_rows,591
source_v6_columns,75
old_train_rows,591
old_audit_rows,1332
pairing_group:traditional_protein,125
pairing_group:fruit_side,108
pairing_group:cooked_or_ready_vegetable,70
pairing_group:savory_snack,63
pairing_group:savory_staple,60
pairing_group:sweet_snack,51
pairing_group:side_dish,41
pairing_group:complete_menu,35
pairing_group:rice_noodle_staple,19
pairing_group:dairy_pairing,16
pairing_group:bread_staple,3
pairing_role:protein,125
pairing_role:fruit,108
pairing_role:staple,82
pairing_role:vegetable,70
pairing_role:snack,53
pairing_role:sweet_snack,51
pairing_role:side,51
pairing_role:complete,35
pairing_role:dairy,16
meal_template_role:protein,125
meal_template_role:fruit,108
meal_template_role:snack,104
meal_template_role:staple,82
meal_template_role:vegetable,70
meal_template_role:side,51
meal_template_role:complete,35
meal_template_role:dairy,16
meal_combo_valid:True,312
meal_combo_valid:False,279
halal_status:halal_candidate,583
halal_status:non_halal_or_review,4
halal_status:needs_review,4
